Serial Number,Title,Director,Cast,id,genres,imdb_id,overview,poster_path,runtime,vote_average,vote_count,combined_features,poster_url
1090,detective knight: redemption,Edward John Drake ,"Paul Johansson, Bruce Willis",1035803,"Action,Thriller",tt22394694,"In custody in New York, Detective James Knight finds himself in the middle of a jailbreak led by The Christmas Bomber, a brutal fanatic whose Santa Claus disciples are terrorizing the city. With the promised return of his badge in exchange for taking out the terrorists, the steely-eyed Knight doles out mercy for the just...and merciless justice for all the rest.",/acCIjyszhmit8k5eWVGNTustYRK.jpg,1 hrs 33 min,5.8,30,"detective knight: redemption Action,Thriller In custody in New York, Detective James Knight finds himself in the middle of a jailbreak led by The Christmas Bomber, a brutal fanatic whose Santa Claus disciples are terrorizing the city. With the promised return of his badge in exchange for taking out the terrorists, the steely-eyed Knight doles out mercy for the just...and merciless justice for all the rest. Edward John Drake ",https://image.tmdb.org/t/p/w500/acCIjyszhmit8k5eWVGNTustYRK.jpg
1091,the mean one,Steven LaMorte ,"David Howard Thornton, Krystle Martin, Chase Mullins, John Bigham, Erik Baker, Flip Kobler, Amy Schumacher",1033052,"Horror,Comedy",tt20853816,"In a sleepy mountain town, Cindy witnesses the murder of her parents by a blood-thirsty green figure in a red Santa suit. Twenty years later, the Christmas-hating monster begins to terrorize the town once more. Cindy finds new purpose in stopping the creature and saving the holiday.",/vYLxywoblaAEU4odYlM0P4eYcWg.jpg,1 hrs 33 min,7.6,12,"the mean one Horror,Comedy In a sleepy mountain town, Cindy witnesses the murder of her parents by a blood-thirsty green figure in a red Santa suit. Twenty years later, the Christmas-hating monster begins to terrorize the town once more. Cindy finds new purpose in stopping the creature and saving the holiday. Steven LaMorte ",https://image.tmdb.org/t/p/w500/vYLxywoblaAEU4odYlM0P4eYcWg.jpg
1092,5000 blankets,Amin Matalqa ,"Anna Camp, Rob Mayes, Carson Minniear, Kim Myers, Rod Hallett, Cindy Hogan",1041419,Drama,tt11364996,"When her husband has a mental breakdown and goes missing, a determined woman and her young son set out to find him on the streets, sparking a movement of compassion towards those in need and inspiring a city.",/984oQ3wy9QjHNnKuReQpRCi5B0V.jpg,1 hrs 45 min,5.8,9,"5000 blankets Drama When her husband has a mental breakdown and goes missing, a determined woman and her young son set out to find him on the streets, sparking a movement of compassion towards those in need and inspiring a city. Amin Matalqa ",https://image.tmdb.org/t/p/w500/984oQ3wy9QjHNnKuReQpRCi5B0V.jpg
1093,avatar: the way of water,James Cameron ,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet",76600,"Science Fiction,Adventure,Action",tt1630029,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,3 hrs 12 min,7.679,8821,"avatar: the way of water Science Fiction,Adventure,Action Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure. James Cameron ",https://image.tmdb.org/t/p/w500/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg
1094,puss in boots: the last wish,Joel Crawford ,"Antonio Banderas, Salma Hayek, Harvey Guillén, Florence Pugh, Olivia Colman, Ray Winstone, Samson Kayo, John Mulaney, Wagner Moura, Da'Vine Joy Randolph",315162,"Animation,Family,Fantasy,Adventure,Comedy",tt3915174,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,1 hrs 43 min,8.283,5814,"puss in boots: the last wish Animation,Family,Fantasy,Adventure,Comedy Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives. Joel Crawford ",https://image.tmdb.org/t/p/w500/kuf6dutpsT0vSVehic3EZIqkOBt.jpg
1095,wildcat,"Melissa Lesh, Trevor Frost ","Melissa Lesh, Trevor Frost (directors)",1019446,Documentary,tt13622204,"Back from war in Afghanistan, a young British soldier struggling with depression and PTSD finds a second chance in the Amazon rainforest when he meets an American scientist, and together they foster an orphaned baby ocelot.",/wSTGQq2C8u1LZXvfUwGGTeob5JY.jpg,1 hrs 45 min,7.4,19,"wildcat Documentary Back from war in Afghanistan, a young British soldier struggling with depression and PTSD finds a second chance in the Amazon rainforest when he meets an American scientist, and together they foster an orphaned baby ocelot. Melissa Lesh, Trevor Frost ",https://image.tmdb.org/t/p/w500/wSTGQq2C8u1LZXvfUwGGTeob5JY.jpg
1096,babylon,Damien Chazelle ,"Brad Pitt, Margot Robbie, Diego Calva, Jean Smart, Jovan Adepo, Li Jun Li",615777,"Drama,Comedy",tt10640346,"A tale of outsized ambition and outrageous excess, tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during Hollywood's transition from silent films and to sound films in the late 1920s.",/wjOHjWCUE0YzDiEzKv8AfqHj3ir.jpg,3 hrs 9 min,7.494,1845,"babylon Drama,Comedy A tale of outsized ambition and outrageous excess, tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during Hollywood's transition from silent films and to sound films in the late 1920s. Damien Chazelle ",https://image.tmdb.org/t/p/w500/wjOHjWCUE0YzDiEzKv8AfqHj3ir.jpg
1097,whitney houston: i wanna dance with somebody,Kasi Lemmons ,"Naomi Ackie, Stanley Tucci, Ashton Sanders, Tamara Tunie, Nafessa Williams, Clarke Peters",696157,"Music,History,Drama",tt12193804,"The joyous, emotional, heartbreaking celebration of the life and music of Whitney Houston, the greatest female R&B pop vocalist of all time. Tracking her journey from obscurity to musical superstardom.",/oodPJ3Op1pWBhnEFyw5fampRCWf.jpg,2 hrs 24 min,7.1,258,"whitney houston: i wanna dance with somebody Music,History,Drama The joyous, emotional, heartbreaking celebration of the life and music of Whitney Houston, the greatest female R&B pop vocalist of all time. Tracking her journey from obscurity to musical superstardom. Kasi Lemmons ",https://image.tmdb.org/t/p/w500/oodPJ3Op1pWBhnEFyw5fampRCWf.jpg
1098,the pale blue eye,Scott Cooper ,"Christian Bale, Harry Melling, Gillian Anderson, Lucy Boynton, Charlotte Gainsbourg, Toby Jones, Harry Lawtey, Simon McBurney, Timothy Spall, Robert Duvall",800815,Crime,tt14138650,"West Point, New York, 1830. When a cadet at the burgeoning military academy is found hanged with his heart cut out, the top brass summons former New York City constable Augustus Landor to investigate. While attempting to solve this grisly mystery, the reluctant detective engages the help of one of the cadets: a strange but brilliant young fellow by the name of Edgar Allan Poe",/9xkGlFRqrN8btTLU0KQvOfn2PHr.jpg,2 hrs 10 min,6.94,1353,"the pale blue eye Crime West Point, New York, 1830. When a cadet at the burgeoning military academy is found hanged with his heart cut out, the top brass summons former New York City constable Augustus Landor to investigate. While attempting to solve this grisly mystery, the reluctant detective engages the help of one of the cadets: a strange but brilliant young fellow by the name of Edgar Allan Poe Scott Cooper ",https://image.tmdb.org/t/p/w500/9xkGlFRqrN8btTLU0KQvOfn2PHr.jpg
1099,women talking,Sarah Polley ,"Rooney Mara, Claire Foy, Jessie Buckley, Judith Ivey, Ben Whishaw, Frances McDormand",777245,Drama,tt13669038,A group of women in an isolated religious colony struggle to reconcile their faith with a series of sexual assaults committed by the colony's men.,/twUbb6Irktv0VEsJXQWJ3VKyxFX.jpg,1 hrs 44 min,6.966,334,women talking Drama A group of women in an isolated religious colony struggle to reconcile their faith with a series of sexual assaults committed by the colony's men. Sarah Polley ,https://image.tmdb.org/t/p/w500/twUbb6Irktv0VEsJXQWJ3VKyxFX.jpg
